feature,mean_abs_shap,shap_rank,cluster,VIF,verdict
glycaemic_brake,6.116225,1,derived_ratios,987968078.02,near-duplicate -> DROP candidate
protein_cho_ratio,4.767755,2,derived_ratios,501620959.75,near-duplicate -> DROP candidate
sugar_fraction,4.2808714,3,derived_ratios,4.78,acceptable
fat_sugar_ratio,3.6543028,4,derived_ratios,6.01,acceptable
ZN,3.5221827,5,micronutrients,2.74,acceptable
SE,3.3023117,6,micronutrients,2.42,acceptable
fat_cho_ratio,3.2177114,7,derived_ratios,75555080.42,near-duplicate -> DROP candidate
FE,3.211231,8,micronutrients,2.95,acceptable
SUCR,3.1747406,9,carb_fractions,8.15,acceptable
MG,3.148231,10,micronutrients,6.27,acceptable
PROT,3.0584264,11,macronutrients,3.98,acceptable
POLYFACc,3.0544713,12,fat_subtypes,14.78,moderate -> monitor
AOACFIB,3.0481224,13,fibre,8.29,acceptable
WATER,3.0167787,14,macronutrients,1.92,acceptable
intrinsic_sugar,2.8801553,15,derived_ratios,4.0,acceptable
MONOFACc,2.8037255,16,fat_subtypes,3.51,acceptable
fibre_cho_ratio,2.478678,17,derived_ratios,6688540.19,near-duplicate -> DROP candidate
MN,2.3764346,18,micronutrients,3.72,acceptable
ENGFIB,2.3140962,19,fibre,8.29,acceptable
CHO,2.2606046,20,carb_fractions,33.39,moderate -> monitor
rapid_glucose_equiv,2.2546551,21,derived_ratios,3.18,acceptable
STAR,2.252457,22,carb_fractions,16.47,moderate -> monitor
MALT,2.1555696,23,carb_fractions,1.75,acceptable
starch_fraction,2.0055618,24,derived_ratios,1.88,acceptable
SATFAC,1.9788884,25,fat_subtypes,2.61,acceptable
FAT,1.9086047,26,macronutrients,3.6,acceptable
TOTSUG,1.8984046,27,carb_fractions,18.41,moderate -> monitor
FACTRANS,1.8941168,28,fat_subtypes,2.01,acceptable
KCALS,1.8785439,29,energy_proxies,13236.21,near-duplicate -> DROP candidate
GLUC,1.8609964,30,carb_fractions,8.57,acceptable
FRUCT,1.8528768,31,carb_fractions,9.25,acceptable
protein_sugar_ratio,1.8253382,32,derived_ratios,6.34,acceptable
TOTn3PFAC,1.7376345,33,fat_subtypes,2.24,acceptable
LACT,1.6356487,34,carb_fractions,1.98,acceptable
TOTn6PFAC,1.6190569,35,fat_subtypes,9.22,acceptable
n6_n3_ratio,1.4870244,36,derived_ratios,1.05,acceptable
VITD,1.3361074,37,micronutrients,1.51,acceptable
GALACT,1.3342888,38,carb_fractions,1.26,acceptable
KJ,1.2852705,39,energy_proxies,13236.21,near-duplicate -> DROP candidate
OLIGO,1.1956322,40,carb_fractions,1.15,acceptable
ADDED_SUGAR,1.1255258,41,carb_fractions,4.94,acceptable
FREE_SUGAR,1.0648249,42,carb_fractions,6.11,acceptable
totalFruit,0.95863754,43,food_groups,1.01,acceptable
totalVeg,0.9507381,44,food_groups,1.01,acceptable
CAFF,0.8224656,45,micronutrients,1.15,acceptable
free_sugar_fraction,0.8084431,46,derived_ratios,3.99,acceptable
ALCO,0.07108512,47,macronutrients,1.35,acceptable
