CHO,STAR,TOTSUG,FREE_SUGAR,ADDED_SUGAR,GLUC,FRUCT,SUCR,MALT,LACT,GALACT,OLIGO,PROT,FAT,KCALS,KJ,ALCO,WATER,AOACFIB,ENGFIB,SATFAC,MONOFACc,POLYFACc,TOTn3PFAC,TOTn6PFAC,FACTRANS,MG,ZN,MN,FE,SE,VITD,CAFF,totalVeg,totalFruit,starch_fraction,sugar_fraction,free_sugar_fraction,rapid_glucose_equiv,intrinsic_sugar,fat_cho_ratio,protein_cho_ratio,fibre_cho_ratio,fat_sugar_ratio,protein_sugar_ratio,glycaemic_brake,n6_n3_ratio,baseline_glucose_mmol,past_4h_glucose_trend,past_1h_glucose_mean,past_1h_glucose_sd,past_1h_glucose_range,mean_glucose_24h,sd_glucose_24h,cv_glucose_24h,mage_24h,conga1_24h,conga2_24h,modd_24h,glucose_at_t_minus_15,glucose_at_t_minus_30,past_3h_kcal,past_3h_cho,past_3h_sugar,past_3h_fat,past_3h_prot,time_since_last_meal_min,time_since_last_sig_meal_min,hour_of_day,is_breakfast,is_lunch,is_dinner,is_snack,sex,n_total_meals,n_days_tracked,mean_daily_kcal,mean_daily_cho,cho_x_baseline_glucose,cho_x_mage,cho_x_time_since_last_meal,cho_x_fibre,cho_x_fat,cho_x_protein,cho_x_hour_of_day,glucose_trend_x_hour_of_day,mage_x_baseline_glucose,cv_x_hour_of_day
-0.2572276,0.31966102,-0.4409294,-0.13066776,0.012036505,-0.6740227,1.0553509,-0.52241784,1.8440218,-1.0193688,-0.4864688,-0.38097277,-1.401681,1.1178646,-1.23148,-0.4885041,-0.000957861,-1.9037253,-1.1619734,-0.18053038,-2.1950586,0.50049424,-2.27484,1.0904171,0.410632,0.28471732,-0.33252245,0.094945416,0.051903084,-4.542903,-0.30683362,-0.88823956,-0.4006295,0.54758316,-0.4037376,0.699783,1.8165756,-0.17210723,0.31309083,-1.1107862,-0.99003744,2.4243236,-0.9438389,-0.22355103,-0.25882316,1.313943,-1.0753247,4.5546412,0.49304026,-0.030789834,5.052582,-1.7404203,-0.07411501,0.62460405,0.82773733,2.3918996,1.470289,-0.69135153,-2.797605,-1.0351593,-1.0039204,0.192994,-0.46190706,0.22257894,-0.6322635,0.1870389,-0.97234154,0.14466088,-0.39008105,-0.17472132,-0.0054247715,0.5592145,0.030264927,-0.06752782,2.8741317,-2.912261,-1.5428866,-2.6643076,-2.6371424,-0.044352587,-1.2809155,-0.6661133,1.6916527,-0.6552852,-0.03863957,-2.6346905,-1.2420546,-0.084682636
0.74102426,-0.29237387,1.0061314,-0.507427,0.3472659,-0.65597373,-0.5595885,2.3538415,1.1982315,-0.8273856,0.25941408,0.028815608,-0.49315974,1.1130917,0.9203553,0.51449966,-0.016099777,-1.0872993,1.9113684,0.32293415,-1.4652482,-0.17901392,-2.2073038,1.3526782,0.10790316,0.89364594,-3.8707683,-1.37508,0.52731323,-0.63327605,0.66898435,-0.7249575,-0.15868327,1.1337237,-0.5997551,0.09285423,-0.1928418,-0.08830321,0.26486498,4.3493333,0.7032458,3.3015187,-0.34664723,-0.35934353,0.24412413,2.2482836,-0.003755685,24.294092,4.064004,1.0204072,15.787605,-0.29120466,-18.50659,-0.53666925,1.1213427,-3.480744,-2.3529227,9.321184,-2.6716297,-0.35105455,-4.658637,0.36690152,-0.45278504,0.20543256,-0.27840495,0.06554763,-0.6967469,0.09562593,-0.70415276,1.1026058,-0.055705946,0.040926807,-0.013127769,0.19084229,4.586667,-3.3988528,-1.7442995,-2.0400574,-0.67252296,4.817325,-1.0775143,-0.1433905,1.491394,-0.44545287,1.624558,2.15853,3.058065,0.5679789
-0.18928498,-0.23296262,-0.3590718,-0.13257495,0.38979274,-0.44931334,0.48233792,-0.652829,-1.2304772,1.1890075,-0.080724634,0.34444875,0.18573472,0.27593893,0.11673671,0.21064825,-0.035995662,-0.017687822,0.25637868,0.57890725,3.312604,-0.72196347,-1.8434097,0.40905926,-0.06341354,-2.1874375,-0.72386575,-0.078133084,0.49032643,1.0810663,-0.77696604,-0.12895826,0.21253763,0.15826404,-0.1251605,-1.182049,0.35660475,-0.5909972,0.443107,3.148952,2.9081564,-0.036366936,0.24701482,0.012668263,0.25773895,1.0097954,-0.36614567,28.146267,-12.493735,0.75871754,-0.7131041,-3.6470392,-25.903526,0.77793634,-1.8518064,-2.4329243,-4.425553,5.128017,-1.3414202,-1.6867158,-2.406208,1.3579451,2.365744,-2.332996,1.2647797,0.09996398,0.73739207,0.76029086,-1.1721224,-0.06953555,-0.06583948,-0.4661749,0.07127488,-0.46238828,4.371309,-1.0773927,-0.9992322,-1.5782703,2.0091197,0.5034219,1.0449988,0.4078124,-0.028486796,0.61490875,-0.43203413,-7.8022103,4.2489586,1.7109928
-0.21101537,-1.781035,1.4908751,-0.59106016,-0.4643887,0.3587429,-0.6433996,1.4363654,-1.6432672,-1.4515225,-0.24991366,0.32633594,-0.5966551,-1.3248874,-0.00090111047,0.6948379,-0.029231032,-1.0799671,-1.6114148,0.1001906,-1.4905137,0.3092883,1.6199863,-0.33205667,-0.25146294,-2.053716,2.5509603,-1.4256362,-1.6458436,0.8285168,-0.52185774,-0.31223997,-0.25093296,0.22827417,0.27883467,0.7883581,2.054928,-0.27677915,1.3648328,-4.6060653,0.49798343,2.3440475,0.6637652,-0.12642923,-1.4104737,4.4106636,-1.5528002,22.624603,-12.189285,-0.43648544,-5.694728,-4.568858,-29.639996,-0.39826453,-4.861975,-4.021469,-6.647985,7.2499495,-3.0521586,-2.7325282,-4.3969564,-0.96094036,-0.46081722,-2.4581156,-0.20189473,0.11228686,2.7072418,1.7319633,-0.31627288,-0.06486658,0.49885565,-0.5496198,-0.20673631,-1.2193573,3.140286,-2.176483,-1.6814322,-2.4071565,-0.9536252,-1.0006981,-0.24311605,1.0095556,-1.3623829,-0.5515682,-0.35464808,-9.450718,3.1411955,-1.5026759
-0.73219645,-1.2903131,0.5679961,-0.0910494,0.37936774,-0.41954285,-0.7093441,0.2599155,1.7407513,-0.36796576,0.07186832,-0.9253358,0.9588241,-0.97683156,0.892192,-0.5678581,-0.016629064,-1.9660484,2.4405906,0.24223839,-2.319237,-0.3743045,-1.5111052,0.5877686,0.30936378,-1.762147,-0.06218595,1.433934,-3.768455,-1.4822311,-0.20805268,-1.1906141,-0.14982978,0.24430723,-0.34166774,-0.6949355,0.15769146,-0.05827016,-0.13626152,1.7525064,0.62461346,4.4219823,-2.2175388,0.3225285,1.4238077,1.3441422,-0.7930123,17.668674,-0.07339601,0.3328296,-3.018292,-5.9802895,-24.184446,0.34823635,-3.300356,-4.3010554,-0.8790812,-3.9235768,-1.3739368,-0.9129325,-4.87126,0.22827491,-0.5203937,0.24722674,-0.5063086,0.29810393,-1.0147482,-2.297034,-0.15394802,-0.09599138,-0.121247016,0.8299213,-0.060055543,-0.0897957,3.0164788,-1.3169243,-1.3315581,-1.93252,-0.56394154,-1.7685156,-1.6568657,-0.17563294,-0.76228255,0.47728586,1.9608523,0.86996603,2.4300115,0.674545
-0.32620546,-0.15271673,-0.7010628,-0.8623638,-0.27676094,-1.3651736,1.3664436,-1.9872086,-1.9439865,-1.833502,-0.3191965,0.037127476,0.6866456,-0.38756585,0.6475929,-0.0051258444,-0.022461666,-1.0493581,-0.56142336,-0.080148645,-1.0462294,-1.0277365,-2.0790498,-0.088751465,0.17223224,-2.3386288,-0.48115966,-1.7179872,-1.1005256,0.6419464,-2.4833498,-0.4766725,-0.24461317,0.13901943,-0.39701596,-0.97277516,-3.309547,-0.086501,-0.45629752,-0.6751413,-0.25500876,-3.4247255,-2.4890366,-1.5601012,0.22754839,-3.470208,0.07424479,16.680397,-8.80065,-2.2160282,-3.2341466,-4.7024107,-24.45223,0.52129287,-4.715817,-3.9535894,-0.37172702,-2.915224,-1.0262485,-0.80055684,0.6528787,1.4064772,-0.64333564,-1.5265046,-0.18405649,-0.69647753,-0.78632593,-0.050537515,1.961212,-0.037813973,-0.042175204,-0.46600473,-0.06113385,-0.38749665,2.3685439,-3.5004034,-1.4023654,-3.7855053,0.117026016,-1.386297,0.97737664,0.001129326,-0.62725466,0.16404592,-1.3884785,-7.8275867,0.8559953,0.49593922
0.86031765,0.51648813,2.390804,-0.22519532,0.021299794,2.7303329,2.6346517,4.7522664,3.249968,2.6486373,-0.085950375,0.5104742,0.8422668,-1.050656,1.4332443,-0.84985524,-0.02155081,-0.024954576,0.7026503,0.5726484,-1.9473225,0.12163184,2.9187098,-2.2939775,-0.7414553,1.5462781,-1.0034477,0.21318291,-1.2914132,1.6883637,-0.5020294,-0.5070759,0.4690477,0.58424884,-0.13316801,0.17432989,-0.01248125,-0.50133127,3.2378716,-0.2250091,0.33609852,0.09048758,2.0801966,0.14528461,-1.1255527,-0.30256787,1.0713247,30.821587,27.017277,2.7411706,3.024307,-0.63368106,-10.293601,4.451414,0.17030513,-1.2747821,1.9232011,-2.353466,1.5979344,-0.3197816,1.6055287,-0.061009273,-0.4096369,0.55773145,-0.7399849,0.85953057,-4.1454167,-1.742039,0.7061305,0.12271536,-0.024527537,-0.1332112,-0.009459165,0.20438293,8.258082,-0.11136015,12.483624,23.135645,4.6890273,2.200289,2.0448906,1.3253744,-0.9072487,1.1967126,0.34719664,3.8292115,2.344654,4.4737186
0.24834344,0.5709381,1.3851557,-0.19248895,-0.07092645,-0.17920433,-0.8994428,-0.4751463,-2.2398527,0.9478951,-0.2618134,-0.756497,2.7021906,-0.049441878,-0.56491137,-0.83286196,-0.008731108,-0.37101308,-0.84810036,0.55533737,-0.7482779,-0.44602126,-2.5074813,1.0427569,-0.079442054,0.23414905,0.3166152,-0.19910364,1.3966361,0.9507217,-1.5105064,0.5680891,-0.26720792,0.34747007,-0.108388424,0.88658947,0.82305014,-0.08295636,2.3469093,0.24192809,-0.59473395,-0.7663286,1.4120779,0.8498173,-0.5326236,-2.3753145,0.2285055,9.446744,5.1488724,0.24470298,-0.33218497,-4.862775,-13.555067,-6.209419,-0.4414435,-6.7922077,4.3012686,-2.3540466,0.4189344,2.0769362,-1.9634658,0.059268937,-0.5538043,0.096968,-0.47425595,0.35012558,-2.6534631,-0.5232404,0.59923923,-0.09352097,-0.20424022,1.1493609,0.030342672,0.38830397,7.4528255,-1.9652202,8.829751,13.45417,-1.2031858,-0.2021521,-0.34877548,-0.39149278,-2.046928,0.4776592,2.7743068,1.7003098,3.0480266,-2.6298566
-0.26502508,0.04787692,-0.14863802,-0.36565867,0.31865677,-0.43070906,-0.82871616,-0.00014814467,2.5824757,-0.79355174,-0.24175413,-2.744072,-2.2407227,-0.17771366,-2.6309543,-1.6127431,0.21406543,4.7031894,0.4761565,-0.14149661,3.5837028,-0.35680747,-3.3017976,-0.23009932,-0.549208,1.6486897,-2.1218953,-0.30020618,-1.1038672,-0.9011761,-1.2588309,0.23725323,2.985543,0.04930588,0.16863723,-0.9591906,0.9109657,-0.2197404,-1.168626,-0.9057581,-1.3337321,-1.28841,1.5611537,-1.2813101,-0.75925875,-1.3695569,0.19674657,43.05401,-3.168512,0.4075073,0.21550566,21.459265,-15.793472,1.095412,0.1376237,-3.7317715,-0.22492468,-1.8583914,-1.9394233,-0.18674475,1.3256605,0.11562091,-0.449696,-0.2029719,0.718151,-1.1016985,1.043886,1.5555615,1.7986622,-0.036097564,0.2949369,-0.12613496,-0.18344702,-0.33438268,0.21343358,-0.5380288,7.443887,5.5201254,-2.5044525,0.31303158,-0.2658642,-0.14139184,-1.6709365,0.13821727,0.2748948,-4.2690845,6.183608,0.5745302
0.53153265,-0.3291046,-0.45078424,0.18108,0.023872593,-0.6447444,-1.1171509,0.77397245,-1.5149121,1.5766668,-0.1644486,-0.70758337,-0.66763955,-0.0099825505,0.29337445,-1.2108324,-0.015573317,0.7292509,-0.061402157,-0.1658212,-0.40466088,-0.7189309,-2.206013,0.5922004,-0.3003936,-1.9836916,-0.41211453,-0.055133108,-0.5814572,-1.0957419,-0.089397326,-0.61270654,-0.43287662,-0.6138318,-0.07881205,0.5251546,0.6782294,-0.0008865838,0.20367959,-2.8071146,1.9187807,-0.7747654,0.49147713,-0.25804314,0.09850153,-0.7215587,-0.04507153,30.381266,-3.8060052,0.6326669,-0.07800905,1.1454725,-10.5785,0.8266628,-0.09563066,-2.4359927,1.3942575,-1.7668153,-1.5688734,0.66078174,0.78073126,0.114094906,-0.09939136,0.31911877,-0.77746904,0.07349737,-1.9780949,-4.8867655,0.17270829,-0.028681861,0.16550134,-0.13517317,-0.038783044,-0.0033552865,3.8842611,-0.6434817,8.509255,13.433835,3.0532146,-1.418215,-2.1266696,-0.00168959,-0.5976372,0.69363606,-0.06587562,-1.8299885,3.1670887,0.46926776
