label,n_features,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
G + Dt + P + I,28,0.16227839853888265,0.05139275445141874,48.903324127096504,4.446089020983473,65.37203666356585,8.796145985122068
G + Dt,18,0.15929594973132605,0.04939726618965425,49.05988956551936,4.613141796228054,65.4931725047148,8.774977316150718
G + Dt + I,27,0.15726193591175835,0.047375106677685005,49.14043657004198,4.556562077685072,65.55479713576662,8.630882876872404
G + Dt + P,19,0.15583246168479442,0.0517134648070897,49.17833070539716,4.790213130797408,65.64222255730003,8.979597291217093
G + I,21,0.15543086685637725,0.05114522421954846,49.261715635735,4.470822622049692,65.62962709819257,8.751694918553797
G + P + I,22,0.1544086273684288,0.05119188380382026,49.28858910099278,4.5052661062894,65.6731883895368,8.825580191439311
Dc + G + Dt + P + I,72,0.152641996132384,0.05258662829646375,49.32952260383332,5.073320277111144,65.76613221088672,9.0199302198218
Dc + G + Dt,62,0.1522871442570338,0.0424295173947717,49.24438258629269,4.787914709524701,65.7754147316924,8.768909908955756
G,12,0.15220483124196874,0.05267066117568294,49.381128260431424,4.379838068339934,65.7651663084742,8.89033074041692
Dc + G,56,0.15186260586981876,0.05111249601388237,49.379397888421835,4.758742344087269,65.78903980927699,8.92108713396795
G + P,13,0.15016772064641906,0.05743054639541223,49.525528683556246,4.6485883141882836,65.86766114970146,9.17318615351918
Dc + G + P,57,0.14873654073056505,0.04972298367656752,49.46406089534709,4.720481919120061,65.90941791228742,8.945960142373321
Dc + G + Dt + P,63,0.1475720533623685,0.0507559495861114,49.34368970074307,5.140632272573904,65.97928508447376,9.130035830439226
Dc + G + Dt + I,71,0.1474512442504951,0.045855430886898675,49.589699601058975,4.920362525621856,65.97367755975301,8.975858469152197
Dc + G + I,65,0.14528332369816085,0.0502624792476231,49.67984722540936,4.864635538078584,66.04859151986847,8.968076191239579
Dc + G + P + I,66,0.14414424806884676,0.05269663040044416,49.70572197106377,4.828346531277146,66.07802259125123,8.937348116152478
Dt + I,15,0.07487744895307691,0.032678525701985095,52.41679389650977,4.167123737263705,68.61369781128673,8.17674845582338
P + I,10,0.07463373285726535,0.04216187833214245,52.278488374749486,4.134986422363055,68.66366005149231,8.69264195954332
Dt + P + I,16,0.07305106216049324,0.03480020342532115,52.299177961459336,4.2226113306937485,68.70633884902595,8.471588246480895
I,9,0.07068326483033296,0.033825609114469794,52.5118803459521,3.8039725407380045,68.76615918942255,8.17093016468355
Dc + I,53,0.04470769771538798,0.021297630499538905,53.4437604770052,3.998913838340721,69.73116548541573,8.227329950942083
Dc + Dt + I,59,0.04357961553150412,0.021522353406409848,53.473908931480295,3.9321490713029807,69.77220644004524,8.231747021492842
Dc + Dt + P + I,60,0.04160141478466876,0.022623554188144962,53.55302659161206,4.195688595694168,69.86755654777016,8.472007877218855
Dc + P + I,54,0.03577854176300828,0.023183429983821315,53.61441220902549,3.9905689945894687,70.05564300702808,8.301994756663692
Dc + Dt,50,-0.002558053283028916,0.019252343510831188,54.809037706703506,4.302009868329013,71.42465290478916,8.34288117920686
Dt,6,-0.0038327517802902444,0.026768474347802062,54.76046552914911,4.176170025981681,71.46589243564583,8.411257760749745
Dc + Dt + P,51,-0.005069612558672077,0.019887244476456335,54.77413806190778,4.367822680973149,71.53632587709487,8.568600383306293
Dt + P,7,-0.007443698236080298,0.02809816534130908,54.8428965599078,4.20701313478559,71.60828909982689,8.578860458165344
Dc,44,-0.009813872742120344,0.019315230445560813,54.91261792036581,4.193126284979272,71.70880070994005,8.628781638713207
Dc + P,45,-0.010240437605163032,0.020002503807843543,54.965812078145746,4.19856116495508,71.72459234969192,8.646112033421623
P,1,-0.01808633627086148,0.02312170089473429,55.20879587402891,4.070581736652889,71.99016319819859,8.597557337921913
